0.5  0.8561896984453572 0.13334119019402252 0.00947166900757941 0.0003752956503959897 8.144955255211906e-6
0.51  0.8456622267887944 0.14231919998359166 0.010922483785157979 0.000472250450753682 1.150651811950573e-5
0.52  0.8337462146052613 0.15233654467999996 0.012689194750378791 0.000600957582555748 1.6457198760354118e-5
0.53  0.8201972550298771 0.1635372446272421 0.014858663557021284 0.0007740704161537747 2.3863052633862057e-5
0.54  0.8047183374676806 0.17608279908628083 0.01754634412283955 0.0010102041364440826 3.513953130191664e-5
0.55  0.7869474411379661 0.19015018465860012 0.02090699565450109 0.0013372185511639398 5.263933574787413e-5
0.56  0.7664425905006311 0.20592567694381228 0.025149742329110672 0.0017975120215962248 8.037198921406105e-5
0.5700000000000001  0.7426645232969482 0.22359097188655622 0.030559091361755657 0.0024567704663988645 0.00012533883647982723
0.58  0.7149580457665717 0.24329542309425514 0.037523885532938735 0.003418620895250287 0.0002000937245184364
0.59  0.6825351788568804 0.2651037831098956 0.04657593206803765 0.004849521689681921 0.00032778280580430315
0.6  0.644467415498913 0.28890166965457437 0.05843808434955138 0.0070214431512836805 0.000552339427545846
0.61  0.5997027321681035 0.3142303397707586 0.07407470782098596 0.010385186316586538 0.0009596423266047191
0.62  0.5471384627604733 0.34000951043809335 0.09471834745358833 0.015694694236850392 0.0017223912260680022
0.63  0.48580715886700776 0.3641011436757751 0.12179907471278047 0.02420888346958762 0.0031965497974402626
0.64  0.4152678797903755 0.38270145855019555 0.15659898925237356 0.0379840071449068 0.006127777591310036
0.65  0.336316031681471 0.389712463567768 0.19926716763336658 0.06017110122862426 0.012076313142335957
0.66  0.2520401010264278 0.37670963033646626 0.24664106215016499 0.09487302063968212 0.024193921014748473
0.67  0.16885763196056516 0.3349840407933005 0.2886834107697615 0.14520844941320069 0.04821200222923345
0.6799999999999999  0.09629912121382639 0.26156566193248537 0.3058251286959309 0.207101692564647 0.09202333302057153
0.69  0.043741753511217 0.16796038007146863 0.27507106462688913 0.25874295851121104 0.15856435013651504
0.7  0.014535857533522835 0.08135540557673179 0.1926136156049586 0.2598144157975797 0.22662262349759338
0.71  0.0031910696572068674 0.02672930687527368 0.09416093242036663 0.18775553575949264 0.2404695195310231
0.72  0.0004117440710463467 0.005264946659243729 0.028256444383105418 0.0855292748125364 0.16551857903782025
0.73  2.739824079536314e-5 0.0005411169461287202 0.004497908905535437 0.021096602525167325 0.06318213369057787
0.74  8.123077567885981e-7 2.4854932472504017e-5 0.0003226056577124248 0.002375138203130793 0.011199198348787008
0.75  9.089845227850946e-9 4.286192392284055e-7 8.682520579349397e-6 0.0001007726540907466 0.000754827350326415
0.76  0.020796144569757934 0.06071911437333114 0.09949577042143919 0.12043583508810374 0.11804913573175636
0.77  0.12916189364553732 0.22627171920495734 0.22000387196133062 0.1595362322200007 0.09789287738831613
0.78  0.29728020091539226 0.34323065269912184 0.2132555488007164 0.09553893370552316 0.03481820664814229
0.79  0.42248840297680085 0.3541076523098024 0.15723821775815142 0.04964289167380078 0.012578188480178278
0.8  0.5220487853213599 0.33345810240579016 0.11164070096598593 0.026370808520636613 0.004968856682516641
0.81  0.6009877056228932 0.3023515626293301 0.07909530649190638 0.014543609679157412 0.002130695099326841
0.8200000000000001  0.6638182320040625 0.26957927944166704 0.05657471698403608 0.008339254960802133 0.0009821294447742266
0.8300000000000001  0.7141959173040772 0.23869469687954395 0.04102080338906453 0.004960955308833248 0.00048240412612467036
0.8400000000000001  0.7549460433641412 0.21094333887325814 0.03018384358761108 0.0030526977053434937 0.0002506616996195423
0.8500000000000001  0.7882138699371333 0.1865610855403204 0.022535568619173583 0.0019371750235977851 0.00013696239865136885
0.86  0.8156218580869804 0.16536280609336682 0.01706043828730929 0.0012641978187076573 7.830901674654484e-5
0.87  0.8384004889133186 0.14701062647544386 0.013084416265921958 0.0008463637683922239 4.665978756199643e-5
0.88  0.8574887267558832 0.13113433885984155 0.010156714842812815 0.0005800548768823274 2.8873562505427585e-5
0.89  0.8736086967355776 0.11738276950536326 0.00797238127882526 0.0004062114601005311 1.8501561810964135e-5
0.9  0.8873205125135858 0.10544292641992516 0.006322416338152905 0.00029021412000070405 1.2244947006976442e-5
0.91  0.8990624294882453 0.09504439237310323 0.005061642426685585 0.0002112397807542881 8.351455037780007e-6
0.9199999999999999  0.9091803291617556 0.0859573056328702 0.004087862476963564 0.00015646310936967496 5.857813552706728e-6
