 -34.25408951 0.0
 -34.17594481 -0.0
 -33.35542284 0.0
 -33.11396937 -0.0
 -31.61241225 4.0
 -31.61241225 -4.0
 -31.5331522 -4.0
 -31.5331522 4.0
 -30.67807722 3.0
 -30.67807722 -3.0
 -30.29199544 3.0
 -30.29199544 -3.0
 -29.30047761 -0.0
 -29.24231977 7.0
 -29.24231977 -7.0
 -29.24161268 0.0
 -29.16449632 7.0
 -29.16449632 -7.0
 -28.63403584 -0.0
 -28.20944206 -88.0
 -28.20944206 88.0
 -28.2058592 88.0
 -28.2058592 -88.0
 -28.12396883 -5.0
 -28.12396883 5.0
 -28.10449422 48.0
 -28.10449422 -48.0
 -28.05370964 -0.0
 -27.93511198 -49.0
 -27.93511198 49.0
 -27.58076899 5.0
 -27.58076899 -5.0
 -27.20862453 3.0
 -27.20862453 -3.0
 -27.16089092 3.0
 -27.16089092 -3.0
 -27.06952309 -10.0
 -27.06952309 10.0
 -26.99641899 -11.0
 -26.99641899 11.0
 -26.5872001 -2.0
 -26.5872001 2.0
 -26.28801013 82.0
 -26.28801013 -82.0
 -26.28215641 82.0
 -26.28215641 -82.0
 -25.63974763 -7.0
 -25.63974763 7.0
 -25.62765838 -53.0
 -25.62765838 53.0
 -25.51307579 2.0
 -25.51307579 -2.0
 -25.32506724 0.0
 -25.31651486 54.0
 -25.31651486 -54.0
 -25.26656759 7.0
 -25.26656759 -7.0
 -25.26307008 -7.0
 -25.26307008 7.0
 -25.24345807 -0.0
 -25.04766165 -13.0
 -25.04766165 13.0
 -24.98313937 13.0
 -24.98313937 -13.0
 -24.92538857 -89.0
 -24.92538857 89.0
 -24.92114748 89.0
 -24.92114748 -89.0
 -24.76748133 -5.0
 -24.76748133 5.0
 -24.62318412 0.0
 -24.60920167 78.0
 -24.60920167 -78.0
 -24.60284026 78.0
 -24.60284026 -78.0
 -24.48151769 -7.0
 -24.48151769 7.0
 -24.39274359 -3.0
 -24.39274359 3.0
 -24.38261357 -6.0
 -24.38261357 6.0
 -23.99265414 2.0
 -23.99265414 -2.0
 -23.80680307 -4.0
 -23.80680307 4.0
 -23.65831141 -10.0
 -23.65831141 10.0
 -23.61354783 3.0
 -23.61354783 -3.0
 -23.50775994 -57.0
 -23.50775994 57.0
 -23.45552599 -9.0
 -23.45552599 9.0
 -23.33498427 -6.0
 -23.33498427 6.0
 -23.29912896 47.0
 -23.29912896 -47.0
 -23.18584612 -9.0
 -23.18584612 9.0
 -23.15985498 -16.0
 -23.15985498 16.0
 -23.1313752 -47.0
 -23.1313752 47.0
 -23.11771327 -57.0
 -23.11771327 57.0
 -23.10594932 16.0
 -23.10594932 -16.0
 -23.02690236 74.0
 -23.02690236 -74.0
 -23.02394959 74.0
 -23.02394959 -74.0
 -23.01996572 -83.0
 -23.01996572 83.0
 -23.01428667 -83.0
 -23.01428667 83.0
 -23.00372042 2.0
 -23.00372042 -2.0
 -22.82356158 -7.0
 -22.82356158 7.0
 -22.4371985 -9.0
 -22.4371985 9.0
 -22.34062522 89.0
 -22.34062522 -89.0
 -22.33589581 -89.0
 -22.33589581 89.0
 -22.2219836 -0.0
 -21.86591591 -7.0
 -21.86591591 7.0
 -21.84792359 -0.0
 -21.81728745 -4.0
 -21.81728745 4.0
 -21.7953461 -12.0
 -21.7953461 12.0
 -21.72147463 -0.0
 -21.67840584 8.0
 -21.67840584 -8.0
 -21.66232601 -12.0
 -21.66232601 12.0
 -21.59485439 -12.0
 -21.59485439 12.0
 -21.59178138 60.0
 -21.59178138 -60.0
 -21.51066136 71.0
 -21.51066136 -71.0
 -21.48287358 71.0
 -21.48287358 -71.0
 -21.47369569 -11.0
 -21.47369569 11.0
 -21.40537345 19.0
 -21.40537345 -19.0
 -21.39676126 4.0
 -21.39676126 -4.0
 -21.3622931 19.0
 -21.3622931 -19.0
 -21.35774752 79.0
 -21.35774752 -79.0
 -21.32658819 -79.0
 -21.32658819 79.0
 -21.31904502 6.0
 -21.31904502 -6.0
 -21.26544526 0.0
 -21.15625375 -60.0
 -21.15625375 60.0
 -21.14310545 9.0
 -21.14310545 -9.0
 -21.12077847 5.0
 -21.12077847 -5.0
 -21.08555536 -52.0
 -21.08555536 52.0
 -20.99138141 6.0
 -20.99138141 -6.0
 -20.96236455 9.0
 -20.96236455 -9.0
 -20.95005565 -7.0
 -20.95005565 7.0
 -20.6346948 84.0
 -20.6346948 -84.0
 -20.61173302 -53.0
 -20.61173302 53.0
 -20.59493323 -3.0
 -20.59493323 3.0
 -20.57256178 -2.0
 -20.57256178 2.0
 -20.55439124 83.0
 -20.55439124 -83.0
 -20.54366322 -51.0
 -20.54366322 51.0
 -20.52861317 -14.0
 -20.52861317 14.0
 -20.39181348 15.0
 -20.39181348 -15.0
 -20.36716673 2.0
 -20.36716673 -2.0
 -20.35435328 -67.0
 -20.35435328 67.0
 -20.33131092 -0.0
 -20.26029131 75.0
 -20.26029131 -75.0
 -20.24074314 -50.0
 -20.24074314 50.0
 -20.23149708 46.0
 -20.23149708 -46.0
 -20.21153718 -90.0
 -20.21153718 90.0
 -20.20201159 -74.0
 -20.20201159 74.0
 -20.17284055 84.0
 -20.17284055 -84.0
 -20.17158394 -2.0
 -20.17158394 2.0
 -20.16559532 -62.0
 -20.16559532 62.0
 -20.1621855 -7.0
 -20.1621855 7.0
 -20.15372229 90.0
 -20.15372229 -90.0
 -20.13694913 -54.0
 -20.13694913 54.0
 -20.12543955 65.0
 -20.12543955 -65.0
