3.38  0.9994547039129134 2.2021600489863803e-14 8.353554867456595e-5 2.116085986159474e-18 4.40281106767309e-6
3.3805  0.9994549293281053 2.5097170467386966e-14 8.347863494125409e-5 2.4045059941972447e-18 4.400307412440744e-6
3.381  0.9994551494362254 1.3623924158148959e-15 8.342176845304519e-5 1.2804290378509291e-19 4.397792551068402e-6
3.3815  0.9994553644574747 3.2718725349030592e-15 8.336494916119602e-5 3.735553237709363e-19 4.395266930739206e-6
3.3819999999999997  0.9994555746006525 3.082921457592507e-14 8.330817701700897e-5 2.699778870593904e-18 4.392730979881357e-6
3.3825  0.9994557800639086 4.848151039116993e-15 8.325145197192665e-5 2.8386045188589674e-19 4.390185109160405e-6
3.383  0.9994559810351431 3.2016377647950236e-14 8.319477397709176e-5 2.8565648679814867e-18 4.3876297123271855e-6
3.3834999999999997  0.9994561776929676 5.149682831610569e-14 8.31381429839006e-5 3.866304384683781e-18 4.385065167173981e-6
3.384  0.9994563702071082 1.0669633219395803e-15 8.308155894347233e-5 1.6004922069045708e-19 4.382491836264505e-6
3.3845  0.9994565587387484 2.0008204753528e-15 8.302502180709319e-5 2.4759345492676464e-19 4.37991006769895e-6
3.385  0.9994567434413802 1.2877853896818008e-16 8.296853152598651e-5 9.134253771318442e-24 4.377320195842482e-6
